Timestamp,Session_Id,Brick_Count,Attempts,Level_Number,Collectibles,DeathByEnemy,DeathByFall,TimeTaken
10/22/2022 16:10:27,"6,38,02,05,18,26,52,50,000.00",2,12,2,4,1,10,82.734
10/22/2022 16:11:54,"6,38,02,05,19,14,07,50,000.00",2,9,2,4,1,7,85.8
10/22/2022 16:21:52,"6,38,02,05,25,11,37,70,000.00",4,3,1,3,0,2,51.4
10/22/2022 16:22:48,"6,38,02,05,25,68,04,20,000.00",2,4,2,8,0,3,55.332
10/22/2022 16:25:31,"6,38,02,05,27,30,60,50,000.00",6,9,3,5,1,7,161.146
10/22/2022 17:59:58,"6,38,02,05,84,01,46,70,000.00",4,10,1,3,4,5,92.421
10/22/2022 18:00:50,"6,38,02,05,84,53,47,70,000.00",2,5,2,7,1,3,50.941
10/22/2022 18:30:16,"6,38,02,06,02,10,90,30,000.00",2,7,1,2,2,4,67.699
10/22/2022 18:32:13,"6,38,02,06,03,32,37,00,000.00",2,13,2,4,3,9,85.666
10/22/2022 18:56:11,"6,38,02,06,90,11,46,50,000.00",6,15,1,2,0,14,226.545
10/22/2022 18:57:17,"6,38,02,06,90,78,24,80,000.00",1,4,2,6,0,3,62.586
10/22/2022 20:22:17,"6,38,02,06,69,36,17,80,000.00",2,2,1,2,0,1,43.549
10/22/2022 20:23:17,"6,38,02,06,69,96,62,80,000.00",2,4,2,4,0,3,57.45
10/22/2022 21:57:50,"6,38,02,07,26,69,25,00,000.00",4,7,1,3,1,5,59.148
10/22/2022 21:58:55,"6,38,02,07,27,33,79,90,000.00",2,8,2,5,2,5,62.431
10/22/2022 22:26:29,"6,38,02,07,43,87,91,40,000.00",2,13,1,2,0,12,97.255
10/22/2022 22:33:12,"6,38,02,07,47,91,64,80,000.00",2,27,3,3,5,21,389.883
10/22/2022 22:49:17,"6,38,02,07,57,55,94,90,000.00",2,5,1,1,1,3,34.685
10/22/2022 22:50:27,"6,38,02,07,58,26,22,40,000.00",4,12,1,2,3,8,68.656
10/22/2022 22:50:54,"6,38,02,07,58,54,09,40,000.00",2,1,2,6,0,0,25.151
10/22/2022 22:51:14,"6,38,02,07,58,73,21,30,000.00",2,5,1,3,1,3,44.53
10/22/2022 22:55:10,"6,38,02,07,61,09,98,40,000.00",4,16,3,5,0,15,253.806
10/22/2022 23:14:01,"6,38,02,07,72,40,20,30,000.00",2,9,1,2,1,7,61.849
10/22/2022 23:14:16,"6,38,02,07,72,55,48,50,000.00",0,3,2,3,1,1,13
10/22/2022 23:15:10,"6,38,02,07,73,09,56,90,000.00",2,10,2,4,3,6,51.117
10/22/2022 23:51:22,"6,38,02,07,94,82,24,80,000.00",4,5,1,3,0,4,41.005
10/23/2022 1:36:21,"6,38,02,08,57,79,70,70,000.00",2,1,1,2,0,0,24.908
10/23/2022 1:36:49,"6,38,02,08,58,08,59,40,000.00",2,4,2,5,0,3,27.645
10/23/2022 2:49:53,"6,38,02,09,01,92,16,40,000.00",2,9,1,3,4,4,64.334
10/23/2022 3:57:25,"6,38,02,09,42,43,64,40,000.00",2,10,1,3,2,7,103.392
10/23/2022 6:10:05,"6,38,02,10,22,04,25,90,000.00",2,5,1,2,2,2,43.899
10/23/2022 8:10:45,"6,38,02,10,94,44,07,90,000.00",3,5,1,2,2,2,51.871
10/23/2022 9:17:46,"6,38,02,11,34,65,69,30,000.00",4,7,1,3,1,5,67.699
10/23/2022 9:21:36,"6,38,02,11,36,94,90,70,000.00",4,17,2,8,0,16,227.298
10/23/2022 9:26:09,"6,38,02,11,39,68,75,40,000.00",2,22,3,4,1,20,270.947
10/23/2022 10:07:19,"6,38,02,11,64,39,08,40,000.00",8,17,1,3,5,11,119.044
10/23/2022 10:11:17,"6,38,02,11,66,76,77,80,000.00",7,33,2,6,5,27,236.21
10/23/2022 10:12:21,"6,38,02,11,67,40,45,90,000.00",4,10,3,2,3,6,62.331
10/23/2022 10:15:10,"6,38,02,11,69,09,87,00,000.00",2,17,3,4,0,16,168.244
10/23/2022 10:17:21,"6,38,02,11,70,41,38,20,000.00",6,10,3,4,1,8,129.095
10/23/2022 11:42:57,"6,38,02,12,21,76,88,10,000.00",2,4,1,3,0,3,62.029
10/23/2022 11:43:52,"6,38,02,12,22,31,91,80,000.00",2,3,2,6,0,2,53.655
10/23/2022 11:44:21,"6,38,02,12,22,60,49,50,000.00",1,3,3,3,0,2,26.926
10/23/2022 13:15:05,"6,38,02,12,77,10,62,50,000.00",2,30,1,2,8,21,120.874
10/23/2022 13:16:24,"6,38,02,12,77,89,87,90,000.00",1,8,2,4,2,5,77.413
10/23/2022 13:16:48,"6,38,02,12,78,08,40,40,000.00",2,13,1,2,4,8,104.364
10/23/2022 13:17:32,"6,38,02,12,78,51,67,00,000.00",2,2,2,6,0,1,42.016
10/23/2022 13:20:33,"6,38,02,12,80,32,78,70,000.00",4,13,3,2,2,10,180.186
10/23/2022 13:22:37,"6,38,02,12,81,56,99,40,000.00",2,1,1,2,0,0,10.347
10/23/2022 13:48:21,"6,38,02,12,97,00,50,80,000.00",2,11,1,2,4,6,51.049
10/23/2022 13:51:23,"6,38,02,12,98,81,70,60,000.00",4,8,1,3,2,5,102.351
10/23/2022 13:51:48,"6,38,02,12,99,06,36,50,000.00",0,4,2,4,0,3,23.314
10/23/2022 14:08:17,"6,38,02,13,08,96,90,40,000.00",2,6,1,3,2,3,76.771
10/23/2022 14:10:37,"6,38,02,13,10,36,32,60,000.00",3,12,2,7,0,11,137.839
10/23/2022 14:11:12,"6,38,02,13,10,72,10,30,000.00",2,5,1,3,1,3,32.844
10/23/2022 14:11:52,"6,38,02,13,11,11,58,10,000.00",2,6,3,4,0,5,73.837
10/23/2022 14:12:03,"6,38,02,13,11,23,43,70,000.00",2,6,2,6,0,5,50.395
10/23/2022 14:14:03,"6,38,02,13,84,87,99,20,000.00",4,4,1,2,0,3,130.832
10/23/2022 14:15:36,"6,38,02,13,13,35,64,50,000.00",4,13,3,3,2,10,211.048
10/23/2022 14:17:09,"6,38,02,13,86,73,24,80,000.00",1,4,3,1,1,2,85.134
10/23/2022 14:23:16,"6,38,02,13,17,94,99,40,000.00",2,4,2,5,0,3,27.374
10/23/2022 14:24:41,"6,38,02,13,18,80,18,00,000.00",1,6,3,3,1,4,47.672
10/23/2022 14:27:00,"6,38,02,13,20,19,55,70,000.00",2,1,1,3,0,0,33.069
10/23/2022 14:28:46,"6,38,02,13,21,25,62,50,000.00",1,4,2,7,0,3,102.833
10/23/2022 14:29:09,"6,38,02,13,21,48,86,80,000.00",6,10,1,2,1,8,121.562
10/23/2022 14:45:21,"6,38,02,13,31,20,66,60,000.00",2,2,1,3,1,0,35.264
10/23/2022 14:46:20,"6,38,02,13,31,79,28,20,000.00",2,5,2,6,0,4,56.3
10/23/2022 14:47:03,"6,38,02,13,32,22,76,40,000.00",2,3,3,4,0,2,40.166
10/23/2022 15:07:26,"6,38,02,13,44,45,85,40,000.00",2,3,1,2,1,1,46.636
10/23/2022 15:40:23,"6,38,02,13,64,22,41,00,000.00",4,16,1,3,7,8,139.699
10/23/2022 15:41:52,"6,38,02,13,65,11,27,60,000.00",2,8,2,4,1,6,87.266
10/23/2022 15:42:01,"6,38,02,13,65,20,12,70,000.00",0,1,2,4,0,0,5.984
10/23/2022 15:51:08,"6,38,02,13,70,67,12,80,000.00",2,3,1,3,1,1,47.902
10/23/2022 15:52:52,"6,38,02,13,71,71,76,80,000.00",4,14,2,5,2,11,103.423
10/23/2022 16:00:57,"6,38,02,13,76,56,31,70,000.00",2,2,1,2,1,0,28.968
10/23/2022 16:01:29,"6,38,02,13,76,88,69,20,000.00",2,5,2,3,1,3,31.108
10/23/2022 16:03:49,"6,38,02,13,78,29,02,90,000.00",3,21,2,5,1,19,137.043
10/23/2022 16:23:11,"6,38,02,13,89,90,82,10,000.00",2,6,1,3,1,4,28.072
10/23/2022 16:23:48,"6,38,02,13,90,28,40,80,000.00",2,3,2,6,0,2,36.503
10/23/2022 16:48:14,"6,38,02,14,04,93,14,90,000.00",2,1,1,3,0,0,29.611
10/23/2022 16:48:32,"6,38,02,14,05,11,78,70,000.00",2,1,1,1,0,0,15.141
10/23/2022 16:49:48,"6,38,02,14,05,87,40,50,000.00",2,3,2,7,0,2,70.521
10/23/2022 17:23:14,"6,38,02,14,25,94,10,10,000.00",2,7,1,3,3,3,60.089
10/23/2022 17:28:02,"6,38,02,14,28,82,04,80,000.00",2,1,1,2,0,0,19.317
10/23/2022 17:28:41,"6,38,02,14,29,21,13,00,000.00",2,4,2,3,0,3,36.533
10/23/2022 17:29:24,"6,38,02,14,29,63,49,70,000.00",2,2,2,6,0,1,40.533
10/23/2022 17:41:43,"6,38,02,14,37,02,20,10,000.00",2,23,1,2,5,17,97.005
10/23/2022 18:01:26,"6,38,02,14,48,85,25,00,000.00",2,29,1,3,4,24,236.316
10/23/2022 18:11:56,"6,38,02,14,55,13,72,90,000.00",2,6,1,3,2,3,52.131
10/23/2022 18:13:11,"6,38,02,14,55,89,55,50,000.00",1,7,2,4,0,6,74.29
10/23/2022 18:22:57,"6,38,02,14,61,76,14,60,000.00",2,2,1,2,0,1,33.774
10/23/2022 18:23:31,"6,38,02,14,62,10,79,60,000.00",1,1,2,4,0,0,32.6
10/23/2022 18:29:46,"6,38,02,14,65,85,20,90,000.00",2,2,1,3,0,1,35.027
10/23/2022 18:33:56,"6,38,02,14,68,35,37,40,000.00",4,13,1,2,2,10,96.635
10/23/2022 18:34:33,"6,38,02,14,68,72,30,80,000.00",1,3,2,4,0,2,35.016
10/23/2022 18:34:55,"6,38,02,14,68,94,25,70,000.00",1,2,2,4,0,1,20.532
10/23/2022 18:35:43,"6,38,02,14,69,42,70,70,000.00",1,5,3,1,1,3,44.766
10/23/2022 18:41:22,"6,38,02,14,72,80,35,20,000.00",2,21,1,3,2,18,268.459
10/23/2022 18:46:59,"6,38,02,14,76,18,44,70,000.00",2,12,1,2,2,9,67.33
10/23/2022 18:48:08,"6,38,02,14,76,87,27,80,000.00",2,10,2,4,3,6,67.082
10/23/2022 19:12:28,"6,38,02,14,91,47,54,70,000.00",6,3,1,2,0,2,83.396
10/23/2022 19:20:45,"6,38,02,14,96,43,87,50,000.00",2,2,1,2,0,1,21.848
10/23/2022 19:21:28,"6,38,02,14,96,87,34,00,000.00",2,3,2,2,0,2,41.631
10/23/2022 19:29:57,"6,38,02,15,01,96,84,10,000.00",2,2,1,3,0,1,115.171
10/23/2022 19:30:40,"6,38,02,15,02,40,03,90,000.00",2,2,2,6,0,1,41.732
10/23/2022 19:31:49,"6,38,02,15,03,08,59,90,000.00",1,4,3,3,1,2,66.412
10/23/2022 19:45:50,"6,38,02,15,11,49,41,30,000.00",2,6,1,2,1,4,75.584
10/23/2022 19:46:52,"6,38,02,15,12,11,88,00,000.00",2,10,2,5,0,9,60.633
10/23/2022 19:49:23,"6,38,02,15,13,62,23,00,000.00",2,25,2,6,6,18,148.733
10/23/2022 19:52:03,"6,38,02,15,15,22,27,90,000.00",2,4,1,2,1,2,44.237
10/23/2022 19:52:12,"6,38,02,15,15,31,73,20,000.00",2,2,1,3,0,1,25.147
10/23/2022 19:52:59,"6,38,02,15,15,78,41,50,000.00",2,1,2,6,0,0,45.366
10/23/2022 19:53:27,"6,38,02,15,16,05,90,30,000.00",1,11,2,4,1,9,80.891
10/23/2022 19:53:51,"6,38,02,15,16,29,92,10,000.00",2,12,1,3,3,8,82.352
10/23/2022 19:55:10,"6,38,02,15,17,08,59,40,000.00",2,5,2,7,0,4,77.318
10/23/2022 19:55:58,"6,38,02,15,17,58,14,70,000.00",2,5,3,3,0,4,177.932
10/23/2022 19:59:11,"6,38,02,15,19,50,27,80,000.00",2,16,3,5,1,14,238.597
10/23/2022 20:05:21,"6,38,02,15,23,20,90,60,000.00",2,11,1,2,3,7,68.557
10/23/2022 20:06:18,"6,38,02,15,23,78,04,10,000.00",2,3,2,7,0,2,55.418
10/23/2022 20:06:22,"6,38,02,15,23,81,54,20,000.00",2,3,1,2,0,2,30.399
10/23/2022 20:06:46,"6,38,02,15,24,05,65,90,000.00",2,1,2,2,0,0,21.5
10/23/2022 20:06:55,"6,38,02,15,24,14,08,50,000.00",0,2,3,4,0,1,34.294
10/23/2022 20:36:54,"6,38,02,15,42,12,70,80,000.00",2,6,1,3,0,5,78.502
10/23/2022 20:37:32,"6,38,02,15,42,51,28,60,000.00",1,5,2,4,0,4,37.108
10/23/2022 20:49:46,"6,38,02,15,49,84,34,00,000.00",2,3,1,3,0,2,34.813
10/23/2022 20:50:20,"6,38,02,15,50,18,88,50,000.00",1,3,2,4,0,2,32.94
10/23/2022 21:26:45,"6,38,02,15,72,04,36,80,000.00",2,8,1,3,1,6,59.316
10/23/2022 21:28:48,"6,38,02,15,73,27,36,80,000.00",2,8,3,1,0,7,63.333
